ra,dec,class,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,extinction_r
204.383783244886,0.485323597387516,Galaxy,20.71259,19.92085,19.43065,19.37025,19.35466,18.54826,17.54231,17.29683,17.16629,17.21688,8.190171,0.06566498
205.704893713399,0.423773088710392,Galaxy,21.9816,20.569,19.12795,18.67855,18.28762,21.20286,19.56765,18.06138,17.53677,17.1752,3.758268,0.08810598
205.717786751871,0.919852726551678,Star,23.28019,22.23244,20.75515,19.94866,19.79921,26.99525,22.38092,20.30778,19.49401,19.4636,2.568918,0.07757478
206.030975261124,0.794618353850038,Quasar,21.40685,21.32494,20.76322,20.11283,20.7303,21.02443,20.62944,20.11593,19.47359,19.47543,2.56613,0.09395741
202.105792102622,0.429935792374126,Galaxy,21.8077,19.87315,18.62222,18.10273,17.78805,20.41775,18.81656,17.61927,17.14017,16.74983,3.369442,0.07745364
202.114628348171,0.794271803165295,Star,21.81385,20.82743,20.29541,19.85734,19.55705,22.12575,20.86818,20.1467,19.76285,19.17569,3.943995,0.07488982
202.129813157673,1.13423876221963,Galaxy,20.35674,18.35453,17.43776,16.90136,16.47471,18.41692,16.76116,15.8525,15.43167,15.14782,8.160923,0.07814557
202.145721376486,0.589598625937647,Star,19.36195,18.39829,18.26067,18.25428,18.25961,19.41286,18.42486,18.31574,18.29958,18.30703,1.228953,0.07971659
202.171084354072,1.0824860269365,Galaxy,23.33505,21.55848,19.84501,19.14518,18.77589,21.7331,20.64644,19.01822,18.3634,18.2059,2.907855,0.07888519
202.181680305053,1.1677542903935,Galaxy,21.30487,19.67755,19.08423,18.62016,18.23858,18.23699,16.85293,16.41503,16.11608,15.95335,10.59023,0.07639605
202.996376427236,1.58601731699634,Galaxy,20.35818,18.80414,18.15974,17.79692,17.18585,18.15814,16.47757,15.68712,15.28807,15.01987,8.200116,0.06952643
203.26846439425,0.280330282165368,Quasar,21.41543,20.76788,20.90886,20.89697,20.38064,21.46961,20.84509,20.90971,21.24766,19.91924,1.296174,0.06645681
204.91259048959,0.172710914168798,Quasar,19.33167,19.21154,19.06677,18.74162,18.44502,19.34039,19.26088,19.10712,18.81967,18.48534,1.146901,0.08376439
202.307692797434,0.728526977313712,Galaxy,20.85111,19.41033,18.98724,18.84423,18.58821,17.19675,15.65615,15.1529,14.96464,14.97176,19.36034,0.08294187
202.309231541274,1.81384222542047,Star,19.3606,18.46151,18.10538,18.00388,17.94716,19.3935,18.49208,18.18421,18.04689,18.03279,1.067112,0.07552031
202.332705878775,1.61440416934378,Galaxy,20.95145,19.59893,18.90145,18.49726,18.10707,19.77899,18.50101,17.74983,17.37577,17.12048,3.434036,0.0779326
205.267854783802,0.156610948125554,Quasar,20.88388,20.00694,19.77817,19.57332,19.3313,20.86669,20.06376,19.80904,19.6226,19.49111,1.083609,0.0836353
205.28746648406,1.75023824927383,Quasar,19.18871,19.19337,18.95106,18.79425,18.70559,19.19924,19.25192,18.9448,18.83433,18.91773,1.46391,0.07691694
205.320312082046,1.5420120992773,Galaxy,24.17794,22.55736,20.9459,20.02343,19.50759,27.71033,21.58752,19.84748,18.77219,18.04955,4.049655,0.06943049
205.335640813741,1.32595915613346,Galaxy,23.4502,22.55073,20.88134,19.96026,19.43624,21.48991,22.43527,19.82111,18.66336,18.30263,5.040404,0.06974865
205.562966230655,1.80079859974018,Galaxy,20.5459,19.1013,18.43375,17.98587,17.62238,17.58146,16.42476,15.93358,15.6038,15.47081,7.75475,0.07819044
205.581403833818,0.853343862553463,Galaxy,19.88218,18.04397,17.33533,17.02311,16.82906,18.68889,17.00306,16.20736,15.85639,15.60156,5.001568,0.07666465
205.587594851131,0.34890809237452,Galaxy,23.85505,22.32295,20.66912,19.76665,19.16454,25.93185,21.73071,19.75601,18.87722,18.61457,3.410724,0.08087783
202.728488751826,1.48733015491057,Galaxy,21.60036,20.27576,19.66844,19.31944,18.66536,19.8909,18.17647,17.45174,17.07719,16.83876,6.754591,0.06895245
203.814493817708,0.164280652245965,Quasar,21.78699,20.71596,20.187,19.62656,19.13663,22.13882,20.80134,20.13025,19.51576,19.08809,1.439356,0.07290994
203.821930110736,1.43107264657738,Quasar,20.88259,20.29827,20.06256,20.09486,19.92526,20.97016,20.31838,20.12579,20.21679,20.15058,1.139212,0.06801497
203.826517008334,1.48504252490491,Quasar,20.98392,20.54285,20.37336,20.18882,20.01384,21.03436,20.59641,20.45575,20.29774,20.11973,1.000335,0.06836751
203.831996953372,0.310594430178938,Galaxy,24.40272,22.63325,20.83503,20.12041,19.52572,21.10503,21.41362,19.68841,18.95757,19.06908,3.511349,0.0713088
205.616501150423,1.81068379390897,Quasar,20.40798,19.90153,19.76454,19.74294,19.39014,20.31027,19.91105,19.77265,19.81329,19.19395,1.286879,0.07432137
205.65191758728,0.795327041755016,Star,19.27086,18.93743,19.17339,19.39751,19.7254,19.2854,18.96657,19.21697,19.46905,20.09029,1.519619,0.07859696
206.551867416517,0.159025226540588,Galaxy,24.75024,21.6811,20.078,19.48307,19.09401,23.47472,21.05588,19.16901,18.58513,18.35742,2.985677,0.07523879
